ID,StartDate,StartTime,EndDate,EndTime,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year,Age,Age group,Weekday,Start station to end station
5688089,11/06/2017,14:55,6/11/2017,15:08,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998,24,20-29,Sunday,Suffolk St & Stanton St to W Broadway & Spring St
4096714,11/05/2017,15:30,5/11/2017,15:41,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981,41,40-49,Thursday,Lexington Ave & E 63 St to 1 Ave & E 78 St
2173887,29/03/2017,13:26,3/29/2017,13:48,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987,35,30-39,Wednesday,1 Pl & Clinton St to Henry St & Degraw St
3945638,08/05/2017,19:47,5/8/2017,19:59,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986,36,30-39,Monday,Barrow St & Hudson St to W 20 St & 8 Ave
6208972,21/06/2017,7:49,6/21/2017,7:54,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992,30,30-39,Wednesday,1 Ave & E 44 St to E 53 St & 3 Ave
1285652,22/02/2017,18:55,2/22/2017,19:12,998,State St & Smith St,Bond St & Fulton St,Subscriber,Male,1986,36,30-39,Wednesday,State St & Smith St to Bond St & Fulton St
1675753,06/03/2017,16:22,3/6/2017,16:30,478,Front St & Gold St,Lafayette Ave & Fort Greene Pl,Subscriber,Male,1982,40,40-49,Monday,Front St & Gold St to Lafayette Ave & Fort Greene Pl
1692245,07/03/2017,7:42,3/7/2017,8:49,4038,E 89 St & York Ave,Broadway & Battery Pl,Subscriber,Male,1984,38,30-39,Tuesday,E 89 St & York Ave to Broadway & Battery Pl
2271331,02/04/2017,8:02,4/2/2017,9:28,5132,Central Park S & 6 Ave,Central Park S & 6 Ave,Non_Subscriber,Male,1981,41,40-49,Sunday,Central Park S & 6 Ave to Central Park S & 6 Ave
1558339,01/03/2017,23:01,3/1/2017,23:06,309,E 3 St & 1 Ave,E 25 St & 2 Ave,Subscriber,Male,1992,30,30-39,Wednesday,E 3 St & 1 Ave to E 25 St & 2 Ave
2287178,02/04/2017,14:37,4/2/2017,14:56,1131,Bank St & Washington St,Little West St & 1 Pl,Non_Subscriber,Male,1981,41,40-49,Sunday,Bank St & Washington St to Little West St & 1 Pl
2744874,13/04/2017,13:40,4/13/2017,13:45,319,Front St & Maiden Ln,Liberty St & Broadway,Subscriber,Male,1955,67,60-69,Thursday,Front St & Maiden Ln to Liberty St & Broadway
3398180,27/04/2017,23:27,4/28/2017,0:05,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971,51,50-59,Thursday,E 10 St & 5 Ave to Columbus Ave & W 72 St
991609,13/02/2017,15:40,2/13/2017,16:00,1172,1 Ave & E 68 St,E 47 St & Park Ave,Subscriber,Male,1993,29,20-29,Monday,1 Ave & E 68 St to E 47 St & Park Ave
